horse_num,oriental_1,oriental_2,oriental_3,oriental_sum,apple_1,apple_2,apple_3,apple_sum,pro_1,pro_2,pro_3,pro_sum,total_1,total_2,total_3,total_sum,w_h_odd,s_b_odd,result,file_name,sheet_name,W.H. FixOdd 60,S.B.Fix Odd 60
1,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,5.0,8.0,1.0,3.0,8.0,12.0,8.0,8.0,0.0,M2019-11-03D,Race(1),,
12,0.0,4.0,6.0,10.0,0.0,2.0,2.0,4.0,0.0,6.0,4.0,10.0,0.0,12.0,12.0,24.0,12.0,12.0,0.0,M2019-11-03D,Race(1),,
11,2.0,0.0,10.0,12.0,1.0,0.0,2.0,3.0,1.0,0.0,5.0,6.0,4.0,0.0,17.0,21.0,4.8,4.8,1.0,M2019-11-03D,Race(1),,
10,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,21.0,21.0,0.0,M2019-11-03D,Race(1),,
9,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,31.0,2.0,M2019-11-03D,Race(1),,
8,0.0,3.0,5.0,8.0,1.0,2.0,3.0,6.0,1.0,3.0,3.0,7.0,2.0,8.0,11.0,21.0,9.0,9.0,0.0,M2019-11-03D,Race(1),,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,M2019-11-03D,Race(1),,
4,0.0,8.0,3.0,11.0,0.0,5.0,14.0,19.0,0.0,2.0,2.0,4.0,0.0,15.0,19.0,34.0,8.0,8.0,3.0,M2019-11-03D,Race(1),,
3,0.0,8.0,2.0,10.0,0.0,17.0,4.0,21.0,0.0,8.0,2.0,10.0,0.0,33.0,8.0,41.0,7.0,7.0,0.0,M2019-11-03D,Race(1),,
2,25.0,0.0,2.0,27.0,27.0,2.0,1.0,30.0,19.0,2.0,3.0,24.0,71.0,4.0,6.0,81.0,3.4,3.4,0.0,M2019-11-03D,Race(1),,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,34.0,34.0,0.0,M2019-11-03D,Race(1),,
5,0.0,7.0,0.0,7.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,8.0,5.0,10.0,3.0,18.0,16.0,16.0,0.0,M2019-11-03D,Race(1),,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,M2019-11-03D,Race(10),,
6,0.0,0.0,3.0,3.0,0.0,1.0,3.0,4.0,1.0,0.0,5.0,6.0,1.0,1.0,11.0,13.0,21.0,21.0,0.0,M2019-11-03D,Race(10),,
5,10.0,5.0,7.0,22.0,7.0,6.0,14.0,27.0,7.0,9.0,5.0,21.0,24.0,20.0,26.0,70.0,3.4,3.4,0.0,M2019-11-03D,Race(10),,
4,3.0,0.0,2.0,5.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,4.0,5.0,4.0,2.0,11.0,11.0,11.0,0.0,M2019-11-03D,Race(10),,
3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,14.0,14.0,0.0,M2019-11-03D,Race(10),,
2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,21.0,21.0,0.0,M2019-11-03D,Race(10),,
1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,7.0,19.0,21.0,0.0,M2019-11-03D,Race(10),,
9,0.0,7.0,9.0,16.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,9.0,18.0,7.0,7.0,3.0,M2019-11-03D,Race(10),,
10,13.0,10.0,0.0,23.0,19.0,3.0,6.0,28.0,12.0,4.0,6.0,22.0,44.0,17.0,12.0,73.0,3.8,3.8,1.0,M2019-11-03D,Race(10),,
11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,34.0,34.0,2.0,M2019-11-03D,Race(10),,
12,0.0,8.0,6.0,14.0,4.0,14.0,4.0,22.0,3.0,8.0,4.0,15.0,7.0,30.0,14.0,51.0,7.0,7.0,0.0,M2019-11-03D,Race(10),,
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,101.0,0.0,M2019-11-03D,Race(10),,
7,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,5.0,8.0,17.0,17.0,0.0,M2019-11-03D,Race(10),,
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,31.0,31.0,0.0,M2019-11-03D,Race(2),,
1,0.0,12.0,7.0,19.0,4.0,6.0,14.0,24.0,6.0,8.0,5.0,19.0,10.0,26.0,26.0,62.0,6.0,6.0,1.0,M2019-11-03D,Race(2),,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,M2019-11-03D,Race(2),,
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,M2019-11-03D,Race(2),,
6,20.0,0.0,7.0,27.0,6.0,14.0,5.0,25.0,7.0,6.0,6.0,19.0,33.0,20.0,18.0,71.0,2.4,2.4,2.0,M2019-11-03D,Race(2),,
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,41.0,41.0,0.0,M2019-11-03D,Race(2),,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,21.0,21.0,0.0,M2019-11-03D,Race(2),,
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,151.0,0.0,M2019-11-03D,Race(2),,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,81.0,81.0,0.0,M2019-11-03D,Race(2),,
2,7.0,16.0,2.0,25.0,20.0,6.0,2.0,28.0,11.0,6.0,3.0,20.0,38.0,28.0,7.0,73.0,3.4,3.4,0.0,M2019-11-03D,Race(2),,
3,0.0,0.0,5.0,5.0,0.0,1.0,2.0,3.0,1.0,0.0,3.0,4.0,1.0,1.0,10.0,12.0,17.0,17.0,0.0,M2019-11-03D,Race(2),,
4,0.0,2.0,9.0,11.0,0.0,3.0,6.0,9.0,1.0,4.0,3.0,8.0,1.0,9.0,18.0,28.0,8.0,8.0,0.0,M2019-11-03D,Race(2),,
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,3.0,M2019-11-03D,Race(2),,
12,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,21.0,21.0,0.0,M2019-11-03D,Race(2),,
8,2.0,7.0,0.0,9.0,1.0,1.0,5.0,7.0,3.0,1.0,5.0,9.0,6.0,9.0,10.0,25.0,5.0,5.0,2.0,M2019-11-03D,Race(3),,
6,5.0,0.0,0.0,5.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,9.0,7.0,5.0,5.0,17.0,8.5,8.5,3.0,M2019-11-03D,Race(3),,
2,14.0,9.0,2.0,25.0,8.0,6.0,14.0,28.0,6.0,8.0,5.0,19.0,28.0,23.0,21.0,72.0,3.6,3.6,0.0,M2019-11-03D,Race(3),,
7,0.0,3.0,3.0,6.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,11.0,6.5,6.5,0.0,M2019-11-03D,Race(3),,
3,0.0,3.0,2.0,5.0,3.0,16.0,2.0,21.0,3.0,6.0,4.0,13.0,6.0,25.0,8.0,39.0,8.5,8.5,0.0,M2019-11-03D,Race(3),,
1,6.0,6.0,13.0,25.0,16.0,4.0,4.0,24.0,11.0,2.0,3.0,16.0,33.0,12.0,20.0,65.0,5.0,5.0,1.0,M2019-11-03D,Race(3),,
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,M2019-11-03D,Race(3),,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,M2019-11-03D,Race(3),,
