horse_num,oriental_1,oriental_2,oriental_3,oriental_sum,apple_1,apple_2,apple_3,apple_sum,pro_1,pro_2,pro_3,pro_sum,total_1,total_2,total_3,total_sum,w_h_odd,s_b_odd,result,file_name,sheet_name,W.H. FixOdd 60,S.B.Fix Odd 60
1,0,2,0,2,0,1,1,2,0,0,1,1,0,3,2,5,16,16,0.0,M2018-04-25D,Race(3),,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0.0,M2018-04-25D,Race(3),,
3,2,0,2,4,1,0,0,1,1,0,1,2,4,0,3,7,13,13,0.0,M2018-04-25D,Race(3),,
4,0,7,3,10,0,2,4,6,1,3,4,8,1,12,11,24,9,9,0.0,M2018-04-25D,Race(3),,
5,25,0,0,25,20,5,3,28,12,9,5,26,57,14,8,79,3.2,3.2,2.0,M2018-04-25D,Race(3),,
6,0,3,5,8,1,2,12,15,1,2,4,7,2,7,21,30,6,6,1.0,M2018-04-25D,Race(3),,
7,3,7,17,27,5,14,6,25,5,6,7,18,13,27,30,70,3.8,3.8,0.0,M2018-04-25D,Race(3),,
8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,16,16,0.0,M2018-04-25D,Race(3),,
9,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,71,71,0.0,M2018-04-25D,Race(3),,
10,0,11,3,14,3,6,3,12,6,6,2,14,9,23,8,40,5.5,5.5,3.0,M2018-04-25D,Race(3),,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0.0,M2018-04-25D,Race(3),,
1,3,5,4,12,10,8,6,24,11,1,5,17,24,14,15,53,8,8,0.0,M2018-04-25D,Race(4),,
2,15,5,0,20,17,6,4,27,10,4,5,19,42,15,9,66,2.8,2.8,1.0,M2018-04-25D,Race(4),,
3,10,12,6,28,1,7,15,23,3,11,5,19,14,30,26,70,3.6,3.6,0.0,M2018-04-25D,Race(4),,
4,2,8,0,10,0,1,2,3,1,3,1,5,3,12,3,18,16,16,2.0,M2018-04-25D,Race(4),,
5,0,0,3,3,1,2,3,6,0,3,3,6,1,5,9,15,11,11,0.0,M2018-04-25D,Race(4),,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.0,M2018-04-25D,Race(4),,
7,0,0,10,10,0,1,0,1,0,0,4,4,0,1,14,15,15,15,0.0,M2018-04-25D,Race(4),,
8,0,0,5,5,1,4,0,5,1,4,1,6,2,8,6,16,17,17,3.0,M2018-04-25D,Race(4),,
9,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,2,21,21,0.0,M2018-04-25D,Race(4),,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0,M2018-04-25D,Race(4),,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,0.0,M2018-04-25D,Race(4),,
12,0,0,2,2,0,0,0,0,0,0,1,1,0,0,3,3,34,35,0.0,M2018-04-25D,Race(4),,
1,12,13,3,28,24,4,1,29,13,8,2,23,49,25,6,80,2.4,2.4,1.0,M2018-04-25D,Race(5),,
2,6,10,3,19,2,14,6,22,7,4,3,14,15,28,12,55,6.5,6.5,3.0,M2018-04-25D,Race(5),,
3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,34,35,0.0,M2018-04-25D,Race(5),,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0.0,M2018-04-25D,Race(5),,
5,2,0,2,4,0,0,2,2,3,1,2,6,5,1,6,12,9,9,0.0,M2018-04-25D,Race(5),,
6,0,0,0,0,0,0,1,1,0,2,1,3,0,2,2,4,15,15,0.0,M2018-04-25D,Race(5),,
7,3,3,5,11,2,10,12,24,2,7,9,18,7,20,26,53,6,6,2.0,M2018-04-25D,Race(5),,
8,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,81,81,0.0,M2018-04-25D,Race(5),,
9,0,0,2,2,0,0,2,2,0,0,0,0,0,0,4,4,17,17,0.0,M2018-04-25D,Race(5),,
10,3,0,7,10,0,0,3,3,0,0,5,5,3,0,15,18,8,8,0.0,M2018-04-25D,Race(5),,
